time,P,G(i),H_sun,T2m,WS10m,Int
20230323:1010,743.24,941.39,42.21,15.41,2.21,0.0
20230323:1110,811.52,1051.05,45.35,16.8,2.14,0.0
20230323:1210,806.25,1052.03,44.7,17.8,2.0,0.0
20230323:1310,721.96,930.87,40.41,18.47,1.93,0.0
20230323:1410,600.63,761.12,33.36,18.83,1.86,0.0
20230323:1510,426.89,535.82,24.51,18.92,1.72,0.0
20230323:1610,219.29,291.53,14.62,18.65,1.72,0.0
20230323:1710,7.48,21.44,4.23,17.63,1.59,0.0
20230323:1810,0.0,0.0,0.0,15.6,2.14,0.0
20230323:1910,0.0,0.0,0.0,14.72,2.9,0.0
20230323:2010,0.0,0.0,0.0,13.32,2.97,0.0
20230323:2110,0.0,0.0,0.0,12.36,2.76,0.0
20230323:2210,0.0,0.0,0.0,11.7,2.55,0.0
20230323:2310,0.0,0.0,0.0,11.05,2.34,0.0
20230324:0010,0.0,0.0,0.0,10.34,2.07,0.0
20230324:0110,0.0,0.0,0.0,9.64,1.86,0.0
20230324:0210,0.0,0.0,0.0,9.31,1.59,0.0
20230324:0310,0.0,0.0,0.0,8.74,1.52,0.0
20230324:0410,0.0,0.0,0.0,8.55,1.45,0.0
20230324:0510,0.0,0.0,0.0,8.73,1.24,0.0
20230324:0610,5.49,16.28,8.09,9.22,0.97,0.0
20230324:0710,35.31,56.98,18.37,11.56,0.83,0.0
20230324:0810,47.44,72.35,27.99,13.23,1.03,0.0
20230324:0910,151.83,196.36,36.35,14.35,1.17,0.0
20230324:1010,206.09,260.3,42.61,15.59,2.41,0.0
20230324:1110,391.56,482.49,45.75,16.31,2.62,0.0
20230324:1210,330.38,408.48,45.08,16.81,2.97,0.0
20230324:1310,575.89,715.34,40.75,17.68,3.1,0.0
20230324:1410,516.39,639.91,33.65,17.3,2.41,0.0
20230324:1510,141.2,185.14,24.77,17.08,2.28,0.0
20230324:1610,51.47,78.38,14.86,16.6,2.14,0.0
20230324:1710,0.0,4.52,4.45,15.56,1.72,0.0
20230324:1810,0.0,0.0,0.0,14.16,1.45,0.0
20230324:1910,0.0,0.0,0.0,13.37,1.59,0.0
20230324:2010,0.0,0.0,0.0,12.13,1.31,0.0
20230324:2110,0.0,0.0,0.0,11.28,1.24,0.0
20230324:2210,0.0,0.0,0.0,11.26,1.52,0.0
20230324:2310,0.0,0.0,0.0,11.52,1.66,0.0
20230325:0010,0.0,0.0,0.0,11.38,1.45,0.0
20230325:0110,0.0,0.0,0.0,11.39,1.45,0.0
20230325:0210,0.0,0.0,0.0,11.39,1.45,0.0
20230325:0310,0.0,0.0,0.0,11.18,1.59,0.0
20230325:0410,0.0,0.0,0.0,10.87,1.86,0.0
20230325:0510,0.0,0.0,0.0,10.68,1.79,0.0
20230325:0610,57.55,106.33,8.42,10.92,1.72,0.0
20230325:0710,275.86,350.31,18.72,12.27,1.66,0.0
20230325:0810,495.62,603.54,28.35,14.12,2.83,0.0
20230325:0910,662.37,816.29,36.73,15.68,3.45,0.0
20230325:1010,767.74,965.4,43.01,16.72,3.45,0.0
20230325:1110,819.92,1044.46,46.15,17.8,3.59,0.0
20230325:1210,833.7,1070.21,45.45,18.86,3.59,0.0
20230325:1310,750.96,952.67,41.08,19.49,3.72,0.0
20230325:1410,622.19,780.77,33.94,20.05,3.45,0.0
20230325:1510,451.65,564.38,25.02,20.14,3.17,0.0
20230325:1610,226.01,300.89,15.09,19.65,2.28,0.0
20230325:1710,20.73,52.17,4.68,18.09,1.86,0.0
20230325:1810,0.0,0.0,0.0,15.57,2.34,0.0
20230325:1910,0.0,0.0,0.0,14.43,1.24,0.0
20230325:2010,0.0,0.0,0.0,11.53,1.93,0.0
20230325:2110,0.0,0.0,0.0,10.03,1.93,0.0
20230325:2210,0.0,0.0,0.0,8.92,1.93,0.0
20230325:2310,0.0,0.0,0.0,8.07,2.0,0.0
20230326:0010,0.0,0.0,0.0,7.37,2.21,0.0
20230326:0110,0.0,0.0,0.0,6.97,2.0,0.0
20230326:0210,0.0,0.0,0.0,6.76,1.59,0.0
20230326:0310,0.0,0.0,0.0,6.98,1.31,0.0
20230326:0410,0.0,0.0,0.0,6.95,1.03,0.0
20230326:0510,0.0,0.0,0.0,6.14,1.38,0.0
20230326:0610,60.93,108.37,8.76,5.79,1.86,0.0
20230326:0710,267.08,334.25,19.06,9.35,1.59,0.0
20230326:0810,489.97,590.75,28.71,11.44,2.41,0.0
20230326:0910,468.43,568.33,37.11,13.17,2.41,0.0
20230326:1010,468.55,577.37,43.41,14.7,1.79,0.0
20230326:1110,293.76,366.72,46.55,15.7,1.24,0.0
20230326:1210,78.92,111.25,45.82,15.57,0.83,0.0
20230326:1310,46.24,71.45,41.41,15.17,1.03,0.0
20230326:1410,31.84,53.36,34.22,15.08,0.9,0.0
20230326:1510,50.62,76.88,25.27,15.02,0.28,0.0
20230326:1610,45.99,71.22,15.33,15.06,0.62,0.0
20230326:1710,2.77,11.76,4.9,13.6,0.97,0.0
20230326:1810,0.0,0.0,0.0,12.13,1.17,0.0
20230326:1910,0.0,0.0,0.0,10.44,2.28,0.0
20230326:2010,0.0,0.0,0.0,9.71,2.41,0.0
20230326:2110,0.0,0.0,0.0,8.87,2.55,0.0
20230326:2210,0.0,0.0,0.0,8.39,2.48,0.0
20230326:2310,0.0,0.0,0.0,8.16,2.55,0.0
20230327:0010,0.0,0.0,0.0,7.63,2.62,0.0
20230327:0110,0.0,0.0,0.0,7.29,2.69,0.0
20230327:0210,0.0,0.0,0.0,6.91,2.83,0.0
20230327:0310,0.0,0.0,0.0,6.37,2.97,0.0
20230327:0410,0.0,0.0,0.0,5.96,3.03,0.0
20230327:0510,0.0,0.0,0.0,5.65,3.1,0.0
20230327:0610,68.46,121.55,9.1,5.9,3.03,0.0
20230327:0710,311.67,384.48,19.4,7.94,2.83,0.0
20230327:0810,536.09,644.92,29.07,11.52,3.1,0.0
20230327:0910,701.08,860.38,37.49,14.73,3.86,0.0
20230327:1010,821.61,1019.1,43.8,16.44,5.24,0.0
20230327:1110,884.21,1093.69,46.95,17.0,6.9,0.0
20230327:1210,902.34,1116.07,46.19,16.71,6.9,0.0
20230327:1310,816.06,998.52,41.73,16.74,7.03,0.0
20230327:1410,675.58,815.4,34.51,16.35,6.9,0.0
20230327:1510,498.99,599.89,25.53,15.63,6.69,0.0
20230327:1610,249.53,319.76,15.56,14.42,6.0,0.0
20230327:1710,26.02,62.99,5.13,12.8,6.07,0.0
20230327:1810,0.0,0.0,0.0,11.22,5.59,0.0
20230327:1910,0.0,0.0,0.0,10.32,5.66,0.0
20230327:2010,0.0,0.0,0.0,9.6,5.52,0.0
20230327:2110,0.0,0.0,0.0,9.07,5.38,0.0
20230327:2210,0.0,0.0,0.0,8.6,5.03,0.0
20230327:2310,0.0,0.0,0.0,8.14,4.55,0.0
20230328:0010,0.0,0.0,0.0,7.53,3.79,0.0
20230328:0110,0.0,0.0,0.0,6.77,3.24,0.0
20230328:0210,0.0,0.0,0.0,5.78,2.76,0.0
20230328:0310,0.0,0.0,0.0,4.52,2.48,0.0
20230328:0410,0.0,0.0,0.0,3.19,2.14,0.0
20230328:0510,0.0,0.0,0.0,2.01,2.0,0.0
20230328:0610,71.27,122.32,9.43,1.78,1.86,0.0
20230328:0710,312.79,384.71,19.75,6.31,1.79,0.0
20230328:0810,531.98,641.39,29.43,9.6,1.86,0.0
20230328:0910,687.87,853.54,37.87,11.39,1.59,0.0
20230328:1010,786.48,1011.58,44.2,12.67,1.17,0.0
20230328:1110,833.16,1083.13,47.34,13.73,1.45,0.0
20230328:1210,847.49,1102.15,46.56,14.48,1.72,0.0
20230328:1310,773.36,982.87,42.06,14.95,2.21,0.0
20230328:1410,658.12,817.95,34.79,15.12,2.48,0.0
20230328:1510,495.21,608.09,25.78,15.1,2.62,0.0
20230328:1610,232.64,302.03,15.79,14.82,2.48,0.0
20230328:1710,26.99,65.47,5.35,13.89,1.66,0.0
20230328:1810,0.0,0.0,0.0,12.07,1.93,0.0
20230328:1910,0.0,0.0,0.0,10.05,1.93,0.0
20230328:2010,0.0,0.0,0.0,8.3,1.93,0.0
20230328:2110,0.0,0.0,0.0,6.99,2.07,0.0
20230328:2210,0.0,0.0,0.0,6.18,1.93,0.0
20230328:2310,0.0,0.0,0.0,5.5,1.86,0.0
20230329:0010,0.0,0.0,0.0,5.78,1.59,0.0
20230329:0110,0.0,0.0,0.0,5.92,1.45,0.0
20230329:0210,0.0,0.0,0.0,6.45,1.24,0.0
20230329:0310,0.0,0.0,0.0,5.83,1.31,0.0
20230329:0410,0.0,0.0,0.0,5.19,1.31,0.0
20230329:0510,0.0,0.0,0.0,4.21,1.38,0.0
20230329:0610,44.79,70.56,9.77,4.62,1.03,0.0
20230329:0710,179.63,225.61,20.09,7.77,0.97,0.0
20230329:0810,465.53,564.55,29.79,10.79,1.38,0.0
20230329:0910,640.88,785.75,38.25,12.06,2.14,0.0
20230329:1010,760.23,951.13,44.59,13.41,2.48,0.0
20230329:1110,784.03,988.41,47.74,14.96,2.9,0.0
20230329:1210,821.73,1050.28,46.93,16.11,2.76,0.0
20230329:1310,752.08,952.83,42.38,16.82,2.76,0.0
20230329:1410,626.26,780.6,35.07,17.21,2.76,0.0
20230329:1510,449.72,556.21,26.02,17.27,2.69,0.0
20230329:1610,224.62,295.38,16.02,17.04,2.62,0.0
20230329:1710,23.33,53.24,5.57,16.05,1.79,0.0
20230329:1810,0.0,0.0,0.0,14.32,2.0,0.0
20230329:1910,0.0,0.0,0.0,12.72,2.48,0.0
20230329:2010,0.0,0.0,0.0,11.79,2.55,0.0
20230329:2110,0.0,0.0,0.0,11.05,2.28,0.0
20230329:2210,0.0,0.0,0.0,10.37,2.0,0.0
20230329:2310,0.0,0.0,0.0,9.63,2.07,0.0
20230330:0010,0.0,0.0,0.0,9.0,1.93,0.0
20230330:0110,0.0,0.0,0.0,8.76,1.52,0.0
20230330:0210,0.0,0.0,0.0,8.5,1.17,0.0
20230330:0310,0.0,0.0,0.0,8.45,0.97,0.0
20230330:0410,0.0,0.0,0.0,8.23,0.76,0.0
20230330:0510,0.0,0.0,0.0,8.04,0.62,0.0
20230330:0610,33.77,55.31,10.1,8.39,0.48,0.0
20230330:0710,91.7,124.5,20.43,11.44,1.03,0.0
20230330:0810,79.14,110.34,30.14,13.1,0.9,0.0
20230330:0910,152.48,196.48,38.62,13.9,1.66,0.0
20230330:1010,234.96,293.42,44.99,14.59,2.07,0.0
20230330:1110,270.25,335.37,48.13,14.91,2.28,0.0
20230330:1210,75.34,106.72,47.3,15.82,2.83,0.0
20230330:1310,215.61,272.12,42.71,16.46,2.83,0.0
20230330:1410,329.14,406.6,35.35,16.81,2.55,0.0
20230330:1510,203.02,257.56,26.27,16.83,2.21,0.0
20230330:1610,99.93,137.98,16.24,16.43,1.79,0.0
20230330:1710,17.49,37.59,5.8,15.63,1.66,0.0
20230330:1810,0.0,0.0,0.0,14.23,1.66,0.0
20230330:1910,0.0,0.0,0.0,12.96,1.72,0.0
20230330:2010,0.0,0.0,0.0,12.09,2.07,0.0
20230330:2110,0.0,0.0,0.0,11.49,2.07,0.0
20230330:2210,0.0,0.0,0.0,10.92,2.07,0.0
20230330:2310,0.0,0.0,0.0,10.42,2.07,0.0
20230331:0010,0.0,0.0,0.0,9.82,1.79,0.0
20230331:0110,0.0,0.0,0.0,8.86,1.59,0.0
20230331:0210,0.0,0.0,0.0,8.78,1.24,0.0
20230331:0310,0.0,0.0,0.0,9.65,0.69,0.0
20230331:0410,0.0,0.0,0.0,9.1,0.48,0.0
20230331:0510,0.0,0.0,0.0,9.09,0.41,0.0
20230331:0610,13.39,28.04,10.43,9.08,0.55,0.0
20230331:0710,74.25,103.47,20.77,10.66,1.24,0.0
20230331:0810,166.17,210.78,30.5,11.86,1.03,0.0
20230331:0910,314.07,388.23,39.0,12.72,0.28,0.0
20230331:1010,149.96,193.55,45.38,13.29,0.97,0.0
20230331:1110,83.65,115.77,48.53,13.29,0.9,0.0
20230331:1210,69.94,99.49,47.67,13.63,1.86,0.0
20230331:1310,72.24,102.2,43.03,13.49,1.59,0.0
20230331:1410,185.27,234.88,35.62,13.79,1.1,0.0
20230331:1510,58.33,85.92,26.52,14.14,0.76,0.0
20230331:1610,74.06,105.35,16.47,14.42,1.1,0.0
20230331:1710,31.69,68.96,6.02,14.25,1.66,0.0
20230331:1810,0.0,0.0,0.0,13.09,1.72,0.0
20230331:1910,0.0,0.0,0.0,11.43,2.48,0.0
20230331:2010,0.0,0.0,0.0,10.66,2.55,0.0
20230331:2110,0.0,0.0,0.0,10.03,2.0,0.0
20230331:2210,0.0,0.0,0.0,9.39,1.1,0.0
20230331:2310,0.0,0.0,0.0,8.33,1.93,0.0
20230401:0010,0.0,0.0,0.0,7.87,2.28,0.0
20230401:0110,0.0,0.0,0.0,7.38,2.55,0.0
20230401:0210,0.0,0.0,0.0,6.73,2.48,0.0
20230401:0310,0.0,0.0,0.0,6.58,2.34,0.0
20230401:0410,0.0,0.0,0.0,6.15,2.34,0.0
20230401:0510,0.0,0.0,0.0,5.98,2.34,0.0
20230401:0610,78.79,132.54,10.76,6.42,2.14,0.0
20230401:0710,310.29,384.35,21.11,8.42,1.72,0.0
20230401:0810,525.29,636.12,30.85,11.15,2.07,0.0
20230401:0910,680.55,844.1,39.37,13.79,2.34,0.0
20230401:1010,778.09,997.29,45.77,16.08,2.14,0.0
20230401:1110,825.24,1073.24,48.92,17.82,2.41,0.0
20230401:1210,823.31,1069.83,48.03,18.88,2.76,0.0
20230401:1310,751.34,963.94,43.35,19.4,2.9,0.0
20230401:1410,558.58,700.46,35.9,19.54,2.83,0.0
20230401:1510,388.71,486.38,26.76,19.33,2.41,0.0
20230401:1610,162.91,218.33,16.7,18.67,1.79,0.0
20230401:1710,32.17,70.19,6.24,17.6,1.79,0.0
20230401:1810,0.0,0.0,0.0,15.36,2.28,0.0
20230401:1910,0.0,0.0,0.0,13.22,2.21,0.0
20230401:2010,0.0,0.0,0.0,11.51,2.0,0.0
20230401:2110,0.0,0.0,0.0,10.46,1.66,0.0
20230401:2210,0.0,0.0,0.0,8.71,1.79,0.0
20230401:2310,0.0,0.0,0.0,7.72,1.66,0.0
20230402:0010,0.0,0.0,0.0,7.48,1.52,0.0
20230402:0110,0.0,0.0,0.0,6.56,1.79,0.0
20230402:0210,0.0,0.0,0.0,6.19,1.79,0.0
20230402:0310,0.0,0.0,0.0,6.59,1.45,0.0
20230402:0410,0.0,0.0,0.0,6.49,1.38,0.0
20230402:0510,0.0,0.0,0.0,6.18,1.52,0.0
20230402:0610,66.53,102.79,11.09,6.3,2.0,0.0
20230402:0710,279.49,350.29,21.44,9.6,0.55,0.0
20230402:0810,513.95,618.98,31.2,11.16,2.55,0.0
20230402:0910,677.53,833.67,39.74,12.16,2.28,0.0
20230402:1010,774.66,990.96,46.16,13.61,1.52,0.0
20230402:1110,815.98,1065.34,49.31,15.46,1.52,0.0
20230402:1210,804.43,1061.81,48.39,16.6,1.24,0.0
20230402:1310,740.85,973.3,43.66,17.29,0.97,0.0
20230402:1410,612.83,788.45,36.17,17.55,0.76,0.0
20230402:1510,450.18,567.57,27.0,17.82,1.1,0.0
20230402:1610,221.74,292.86,16.92,17.41,1.93,0.0
20230402:1710,33.93,73.9,6.45,16.2,2.28,0.0
20230402:1810,0.0,0.0,0.0,14.22,2.34,0.0
20230402:1910,0.0,0.0,0.0,13.4,2.34,0.0
20230402:2010,0.0,0.0,0.0,11.61,1.59,0.0
20230402:2110,0.0,0.0,0.0,11.11,1.17,0.0
20230402:2210,0.0,0.0,0.0,9.11,1.66,0.0
20230402:2310,0.0,0.0,0.0,8.16,1.72,0.0
20230403:0010,0.0,0.0,0.0,7.39,1.72,0.0
20230403:0110,0.0,0.0,0.0,6.72,1.79,0.0
20230403:0210,0.0,0.0,0.0,6.16,1.86,0.0
20230403:0310,0.0,0.0,0.0,5.76,1.79,0.0
20230403:0410,0.0,0.0,0.0,6.1,1.45,0.0
20230403:0510,0.0,0.0,0.0,7.59,0.83,0.0
20230403:0610,80.62,133.14,11.42,7.28,1.03,0.0
20230403:0710,308.82,385.86,21.78,10.27,1.52,0.0
20230403:0810,521.06,630.72,31.55,13.08,3.1,0.0
20230403:0910,686.87,838.31,40.11,14.49,4.14,0.0
20230403:1010,797.12,989.32,46.55,15.13,4.21,0.0
20230403:1110,827.03,1037.48,49.7,15.51,3.93,0.0
20230403:1210,821.84,1033.69,48.75,15.68,3.72,0.0
20230403:1310,780.42,971.51,43.98,15.76,4.0,0.0
20230403:1410,635.72,776.1,36.44,15.53,4.14,0.0
20230403:1510,479.13,582.48,27.24,15.22,4.0,0.0
20230403:1610,148.34,195.17,17.14,14.68,3.86,0.0
20230403:1710,33.94,70.52,6.67,13.96,3.38,0.0
20230403:1810,0.0,0.0,0.0,12.56,3.24,0.0
20230403:1910,0.0,0.0,0.0,11.26,4.41,0.0
20230403:2010,0.0,0.0,0.0,10.41,3.93,0.0
20230403:2110,0.0,0.0,0.0,9.86,3.52,0.0
20230403:2210,0.0,0.0,0.0,9.52,3.24,0.0
20230403:2310,0.0,0.0,0.0,8.98,3.38,0.0
20230404:0010,0.0,0.0,0.0,8.38,3.31,0.0
20230404:0110,0.0,0.0,0.0,8.03,3.17,0.0
20230404:0210,0.0,0.0,0.0,7.17,2.9,0.0
20230404:0310,0.0,0.0,0.0,6.99,2.76,0.0
20230404:0410,0.0,0.0,0.0,6.68,2.76,0.0
20230404:0510,0.0,0.0,0.0,6.34,2.76,0.0
20230404:0610,85.09,137.8,11.75,6.2,2.69,0.0
20230404:0710,315.8,383.82,22.11,7.86,4.76,0.0
20230404:0810,536.15,627.04,31.9,8.33,4.97,0.0
20230404:0910,699.71,830.5,40.48,9.0,4.34,0.0
20230404:1010,816.37,996.32,46.93,10.02,3.59,0.0
20230404:1110,862.29,1076.64,50.09,10.89,2.9,0.0
20230404:1210,855.03,1077.91,49.11,11.82,2.55,0.0
20230404:1310,786.02,983.31,44.29,12.58,2.48,0.0
20230404:1410,651.86,801.43,36.71,12.66,2.28,0.0
20230404:1510,468.06,570.86,27.48,12.93,2.07,0.0
20230404:1610,245.58,317.13,17.36,12.63,1.86,0.0
20230404:1710,36.58,76.04,6.89,12.05,1.59,0.0
20230404:1810,0.0,0.0,0.0,10.73,1.59,0.0
20230404:1910,0.0,0.0,0.0,9.26,2.48,0.0
20230404:2010,0.0,0.0,0.0,8.29,2.69,0.0
20230404:2110,0.0,0.0,0.0,7.65,2.83,0.0
20230404:2210,0.0,0.0,0.0,6.95,2.97,0.0
20230404:2310,0.0,0.0,0.0,6.49,3.03,0.0
20230405:0010,0.0,0.0,0.0,6.47,3.1,0.0
20230405:0110,0.0,0.0,0.0,6.17,3.1,0.0
20230405:0210,0.0,0.0,0.0,6.19,3.17,0.0
20230405:0310,0.0,0.0,0.0,5.79,3.03,0.0
20230405:0410,0.0,0.0,0.0,5.29,2.83,0.0
20230405:0510,0.0,0.0,0.0,4.85,2.69,0.0
20230405:0610,74.77,110.87,12.07,5.13,2.34,0.0
20230405:0710,225.04,275.4,22.44,6.9,2.76,0.0
20230405:0810,537.12,634.33,32.24,8.13,3.31,0.0
20230405:0910,703.12,843.82,40.85,9.15,3.31,0.0
20230405:1010,732.56,896.82,47.32,10.2,2.69,0.0
20230405:1110,832.79,1051.71,50.47,11.33,2.14,0.0
20230405:1210,844.27,1072.85,49.47,11.9,2.07,0.0
20230405:1310,771.04,966.16,44.6,12.45,2.21,0.0
20230405:1410,658.07,807.45,36.98,12.47,2.41,0.0
20230405:1510,469.55,568.11,27.72,12.57,2.83,0.0
20230405:1610,250.0,320.94,17.59,12.38,2.97,0.0
20230405:1710,37.15,78.15,7.11,11.63,2.69,0.0
20230405:1810,0.0,0.0,0.0,10.05,2.55,0.0
20230405:1910,0.0,0.0,0.0,8.93,2.55,0.0
20230405:2010,0.0,0.0,0.0,7.77,2.55,0.0
20230405:2110,0.0,0.0,0.0,6.79,2.55,0.0
20230405:2210,0.0,0.0,0.0,5.98,2.55,0.0
20230405:2310,0.0,0.0,0.0,5.25,2.62,0.0
20230406:0010,0.0,0.0,0.0,4.69,2.69,0.0
20230406:0110,0.0,0.0,0.0,4.13,2.62,0.0
20230406:0210,0.0,0.0,0.0,3.54,2.55,0.0
20230406:0310,0.0,0.0,0.0,2.95,2.41,0.0
20230406:0410,0.0,0.0,0.0,2.37,2.34,0.0
20230406:0510,0.0,1.68,1.89,1.83,2.21,0.0
20230406:0610,89.81,139.8,12.39,2.62,1.66,0.0
20230406:0710,311.7,384.19,22.77,6.41,0.55,0.0
20230406:0810,525.28,637.39,32.58,8.79,0.97,0.0
20230406:0910,683.45,852.19,41.21,10.41,1.03,0.0
20230406:1010,784.74,1007.37,47.7,11.75,1.03,0.0
20230406:1110,809.44,1053.19,50.85,12.87,1.03,0.0
20230406:1210,820.18,1081.24,49.82,13.71,0.83,0.0
20230406:1310,688.41,881.3,44.91,14.34,0.97,0.0
20230406:1410,508.98,632.21,37.25,14.74,1.24,0.0
20230406:1510,387.11,478.96,27.95,14.97,1.31,0.0
20230406:1610,176.01,231.08,17.8,14.84,1.31,0.0
20230406:1710,17.25,34.4,7.32,14.33,0.62,0.0
20230406:1810,0.0,0.0,0.0,12.95,0.76,0.0
20230406:1910,0.0,0.0,0.0,12.28,0.21,0.0
20230406:2010,0.0,0.0,0.0,10.78,0.69,0.0
20230406:2110,0.0,0.0,0.0,8.27,1.38,0.0
20230406:2210,0.0,0.0,0.0,7.44,1.38,0.0
20230406:2310,0.0,0.0,0.0,7.24,1.17,0.0
20230407:0010,0.0,0.0,0.0,7.61,0.76,0.0
20230407:0110,0.0,0.0,0.0,7.29,0.14,0.0
20230407:0210,0.0,0.0,0.0,6.82,0.28,0.0
20230407:0310,0.0,0.0,0.0,6.4,0.41,0.0
20230407:0410,0.0,0.0,0.0,5.85,0.14,0.0
20230407:0510,0.0,2.52,2.22,5.2,0.48,0.0
20230407:0610,90.79,145.16,12.71,5.5,0.28,0.0
20230407:0710,272.49,338.82,23.1,8.16,0.21,0.0
20230407:0810,132.2,170.85,32.92,10.6,0.69,0.0
20230407:0910,283.3,347.47,41.57,11.71,1.17,0.0
20230407:1010,352.22,431.73,48.08,12.51,1.24,0.0
20230407:1110,216.12,270.84,51.24,12.89,1.03,0.0
20230407:1210,686.43,853.55,50.18,12.95,2.28,0.0
20230407:1310,493.96,601.79,45.22,12.94,2.28,0.0
20230407:1410,190.11,238.12,37.51,11.93,1.72,0.0
20230407:1510,202.7,251.08,28.19,11.0,2.0,0.0
20230407:1610,20.03,37.08,18.02,9.66,2.14,0.0
20230407:1710,23.05,42.5,7.54,8.85,2.07,0.0
20230407:1810,0.0,0.0,0.0,8.13,1.52,0.0
20230407:1910,0.0,0.0,0.0,8.71,1.24,0.0
20230407:2010,0.0,0.0,0.0,9.26,0.28,0.0
20230407:2110,0.0,0.0,0.0,8.51,0.48,0.0
20230407:2210,0.0,0.0,0.0,7.72,0.34,0.0
20230407:2310,0.0,0.0,0.0,7.07,0.41,0.0
20230408:0010,0.0,0.0,0.0,5.4,1.1,0.0
20230408:0110,0.0,0.0,0.0,4.44,1.24,0.0
20230408:0210,0.0,0.0,0.0,3.79,1.38,0.0
20230408:0310,0.0,0.0,0.0,3.41,1.45,0.0
20230408:0410,0.0,0.0,0.0,2.86,1.59,0.0
20230408:0510,0.47,6.71,2.54,2.29,1.66,0.0
20230408:0610,90.86,138.46,13.03,3.91,1.17,0.0
20230408:0710,304.85,374.91,23.42,6.93,0.97,0.0
20230408:0810,516.09,624.33,33.26,9.87,1.52,0.0
20230408:0910,675.39,838.15,41.93,12.62,1.86,0.0
20230408:1010,777.24,995.53,48.46,14.51,1.72,0.0
20230408:1110,825.23,1079.71,51.62,15.78,1.59,0.0
20230408:1210,811.36,1067.36,50.53,16.68,1.45,0.0
20230408:1310,743.4,971.89,45.52,17.24,1.17,0.0
20230408:1410,589.53,755.5,37.77,17.49,0.76,0.0
20230408:1510,418.08,525.5,28.42,17.52,1.1,0.0
20230408:1610,109.92,150.23,18.24,17.16,2.0,0.0
20230408:1710,24.52,45.94,7.75,16.17,2.41,0.0
20230408:1810,0.0,0.0,0.0,14.4,2.55,0.0
20230408:1910,0.0,0.0,0.0,12.77,3.66,0.0
20230408:2010,0.0,0.0,0.0,11.89,4.07,0.0
20230408:2110,0.0,0.0,0.0,11.09,4.0,0.0
20230408:2210,0.0,0.0,0.0,10.24,3.93,0.0
20230408:2310,0.0,0.0,0.0,9.62,3.72,0.0
20230409:0010,0.0,0.0,0.0,9.01,3.38,0.0
20230409:0110,0.0,0.0,0.0,8.45,2.97,0.0
20230409:0210,0.0,0.0,0.0,8.03,2.62,0.0
20230409:0310,0.0,0.0,0.0,7.6,2.48,0.0
20230409:0410,0.0,0.0,0.0,7.13,2.41,0.0
20230409:0510,0.79,7.55,2.85,6.77,2.41,0.0
20230409:0610,94.0,148.6,13.35,7.65,2.21,0.0
20230409:0710,312.39,386.78,23.74,10.14,2.21,0.0
20230409:0810,498.59,602.2,33.6,11.88,2.55,0.0
20230409:0910,616.87,757.56,42.28,13.38,2.48,0.0
20230409:1010,680.85,852.79,48.83,14.69,2.28,0.0
20230409:1110,692.44,874.24,51.99,15.39,2.21,0.0
20230409:1210,705.07,892.72,50.88,15.67,2.21,0.0
20230409:1310,651.84,825.18,45.82,16.24,1.79,0.0
20230409:1410,563.24,707.46,38.03,16.47,1.45,0.0
20230409:1510,422.68,526.56,28.65,16.93,1.72,0.0
20230409:1610,236.7,312.08,18.46,16.74,2.07,0.0
20230409:1710,38.95,81.19,7.96,15.89,2.21,0.0
20230409:1810,0.0,0.0,0.0,14.04,2.55,0.0
20230409:1910,0.0,0.0,0.0,13.01,3.66,0.0
20230409:2010,0.0,0.0,0.0,12.14,4.0,0.0
20230409:2110,0.0,0.0,0.0,11.56,4.14,0.0
20230409:2210,0.0,0.0,0.0,10.72,4.0,0.0
20230409:2310,0.0,0.0,0.0,10.17,4.0,0.0
20230410:0010,0.0,0.0,0.0,9.65,3.86,0.0
20230410:0110,0.0,0.0,0.0,9.28,3.52,0.0
20230410:0210,0.0,0.0,0.0,9.05,3.1,0.0
20230410:0310,0.0,0.0,0.0,8.93,2.69,0.0
20230410:0410,0.0,0.0,0.0,8.64,2.21,0.0
20230410:0510,0.78,7.55,3.17,8.18,2.07,0.0
20230410:0610,96.93,152.94,13.66,8.43,1.86,0.0
20230410:0710,304.87,377.03,24.06,10.41,2.41,0.0
20230410:0810,520.23,629.14,33.93,11.79,2.48,0.0
20230410:0910,685.94,847.72,42.64,13.25,2.48,0.0
20230410:1010,781.36,992.07,49.21,14.44,2.21,0.0
20230410:1110,806.05,1042.34,52.37,15.43,1.86,0.0
20230410:1210,757.03,979.86,51.22,16.13,1.59,0.0
20230410:1310,691.08,891.7,46.12,16.8,1.24,0.0
20230410:1410,571.69,724.26,38.29,17.07,1.17,0.0
20230410:1510,373.61,466.99,28.88,17.03,1.31,0.0
20230410:1610,165.97,220.08,18.67,16.72,1.59,0.0
20230410:1710,30.19,55.05,8.17,16.04,1.52,0.0
20230410:1810,0.0,0.0,0.0,14.78,1.86,0.0
20230410:1910,0.0,0.0,0.0,13.35,1.93,0.0
20230410:2010,0.0,0.0,0.0,12.08,2.0,0.0
20230410:2110,0.0,0.0,0.0,10.5,1.72,0.0
20230410:2210,0.0,0.0,0.0,9.38,1.86,0.0
20230410:2310,0.0,0.0,0.0,8.81,1.59,0.0
20230411:0010,0.0,0.0,0.0,9.3,1.03,0.0
20230411:0110,0.0,0.0,0.0,8.91,0.97,0.0
20230411:0210,0.0,0.0,0.0,8.45,0.9,0.0
