time,P,G(i),H_sun,T2m,WS10m,Int
20230105:0610,0.0,0.0,0.0,5.22,1.93,0.0
20230105:0710,0.0,0.0,0.0,5.55,1.86,0.0
20230105:0810,66.47,92.15,8.44,6.19,1.86,0.0
20230105:0910,229.94,275.84,15.05,8.59,2.28,0.0
20230105:1010,633.65,755.97,19.65,9.89,3.03,0.0
20230105:1110,703.01,849.5,21.8,10.88,3.1,0.0
20230105:1210,673.25,811.51,21.24,11.86,3.45,0.0
20230105:1310,608.98,732.88,18.06,12.86,3.38,0.0
20230105:1410,428.89,513.14,12.58,13.13,3.03,0.0
20230105:1510,170.43,214.92,5.28,12.49,2.41,0.0
20230105:1610,0.0,0.0,0.0,10.8,2.62,0.0
20230105:1710,0.0,0.0,0.0,9.53,2.62,0.0
20230105:1810,0.0,0.0,0.0,8.64,2.55,0.0
20230105:1910,0.0,0.0,0.0,8.73,2.69,0.0
20230105:2010,0.0,0.0,0.0,8.1,2.41,0.0
20230105:2110,0.0,0.0,0.0,7.18,2.0,0.0
20230105:2210,0.0,0.0,0.0,6.96,1.38,0.0
20230105:2310,0.0,0.0,0.0,7.72,0.28,0.0
20230106:0010,0.0,0.0,0.0,6.91,0.97,0.0
20230106:0110,0.0,0.0,0.0,4.55,1.52,0.0
20230106:0210,0.0,0.0,0.0,4.69,1.17,0.0
20230106:0310,0.0,0.0,0.0,4.48,1.17,0.0
20230106:0410,0.0,0.0,0.0,4.64,1.03,0.0
20230106:0510,0.0,0.0,0.0,4.58,1.1,0.0
20230106:0610,0.0,0.0,0.0,5.06,0.97,0.0
20230106:0710,0.0,0.0,0.0,4.54,0.55,0.0
20230106:0810,37.72,58.35,8.48,4.93,0.41,0.0
20230106:0910,58.82,83.7,15.12,6.15,0.55,0.0
20230106:1010,54.17,78.69,19.74,7.3,0.69,0.0
20230106:1110,67.02,94.06,21.91,8.11,0.62,0.0
20230106:1210,48.43,72.35,21.37,8.89,0.55,0.0
20230106:1310,33.49,54.27,18.2,9.4,0.48,0.0
20230106:1410,23.46,41.6,12.73,9.63,0.41,0.0
20230106:1510,8.97,21.71,5.44,9.46,0.41,0.0
20230106:1610,0.0,0.0,0.0,8.82,0.55,0.0
20230106:1710,0.0,0.0,0.0,7.84,0.69,0.0
20230106:1810,0.0,0.0,0.0,6.92,0.97,0.0
20230106:1910,0.0,0.0,0.0,6.59,0.07,0.0
20230106:2010,0.0,0.0,0.0,6.22,0.28,0.0
20230106:2110,0.0,0.0,0.0,6.18,0.34,0.0
20230106:2210,0.0,0.0,0.0,5.91,0.48,0.0
20230106:2310,0.0,0.0,0.0,5.55,0.62,0.0
20230107:0010,0.0,0.0,0.0,5.06,0.62,0.0
20230107:0110,0.0,0.0,0.0,4.66,0.69,0.0
20230107:0210,0.0,0.0,0.0,4.71,0.55,0.0
20230107:0310,0.0,0.0,0.0,4.71,0.41,0.0
20230107:0410,0.0,0.0,0.0,4.48,0.28,0.0
20230107:0510,0.0,0.0,0.0,4.58,0.21,0.0
20230107:0610,0.0,0.0,0.0,4.51,0.34,0.0
20230107:0710,0.0,0.0,0.0,4.69,0.62,0.0
20230107:0810,42.82,64.5,8.53,5.17,0.34,0.0
20230107:0910,36.31,56.98,15.19,5.83,0.34,0.0
20230107:1010,27.38,46.13,19.83,6.77,0.62,0.0
20230107:1110,43.54,66.02,22.02,7.25,0.62,0.0
20230107:1210,41.18,63.31,21.51,7.74,0.62,0.0
20230107:1310,41.08,63.31,18.34,8.25,0.62,0.0
20230107:1410,27.87,47.03,12.88,8.37,0.55,0.0
20230107:1510,4.96,15.38,5.59,8.38,0.41,0.0
20230107:1610,0.0,0.0,0.0,8.15,0.28,0.0
20230107:1710,0.0,0.0,0.0,7.96,0.34,0.0
20230107:1810,0.0,0.0,0.0,7.69,0.55,0.0
20230107:1910,0.0,0.0,0.0,7.34,0.14,0.0
20230107:2010,0.0,0.0,0.0,7.54,0.0,0.0
20230107:2110,0.0,0.0,0.0,7.48,0.28,0.0
20230107:2210,0.0,0.0,0.0,7.17,0.48,0.0
20230107:2310,0.0,0.0,0.0,6.95,0.55,0.0
20230108:0010,0.0,0.0,0.0,7.17,0.41,0.0
20230108:0110,0.0,0.0,0.0,7.03,0.55,0.0
20230108:0210,0.0,0.0,0.0,6.94,0.83,0.0
20230108:0310,0.0,0.0,0.0,7.04,0.76,0.0
20230108:0410,0.0,0.0,0.0,7.19,1.1,0.0
